"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","657","test_product_by_entering_invalid_name","testcases","2026-06-07","passed","2026-06-07","","test_search_product","",""
"","4973","test_checkout_page","testcases","2026-06-07","passed","2026-06-07","","test_checkout","",""
"","2499","test_login_with_invalid_password","testcases","2026-06-07","passed","2026-06-07","","test_login","",""
"","4470","test_login_with_invalid_username","testcases","2026-06-07","passed","2026-06-07","","test_login","",""
"","6594","test_user_registration[registration_data1]","testcases","2026-06-07","passed","2026-06-07","","test_registration_DDT","",""
"","3204","test_login_valid_user","testcases","2026-06-07","passed","2026-06-07","","test_login","",""
"","1225","test_product_by_entering_partial_name","testcases","2026-06-07","passed","2026-06-07","","test_search_product","",""
"","6847","test_user_registration[registration_data0]","testcases","2026-06-07","passed","2026-06-07","","test_registration_DDT","",""
"","2188","test_add_item_to_cart","testcases","2026-06-07","passed","2026-06-07","","test_cart","",""
"","1887","test_product_by_entering_full_name","testcases","2026-06-07","passed","2026-06-07","","test_search_product","",""
"","16223","test_user_registration[registration_data2]","testcases","2026-06-07","passed","2026-06-07","","test_registration_DDT","",""
"","3115","test_remove_item_from_cart","testcases","2026-06-07","passed","2026-06-07","","test_cart","",""
